The Jewelled Eye of AGABAL (Jeweyel) Level 800
By
withinamnesia
Published:
May 3, 2022


1245
colouration
divine
exact
eye
gordon
jewelled
more
pm
powers
pure
roulston
agabal
jeweyel
jeweyels
0305may2022
Description
The Jewelled Eye of AGABAL (Jeweyel) [More Exact and Pure Colouration]: 
-Matthew Gordon Roulston 12:45 PM 03/05(May)/2022

The Jewelled Eye Of AGABAL (Jeweyel)

The Jewelled Eye Of AGABAL Divine Powers, Jeweyel's Divine Powers


Divine Powers Hierarchy


The Arcane Creator:
Level 700 (150,000.000 Divine Power Creator)

- Khronus:
The Arcane Creator - Grey
Level 618 (33,000.000 Divine Power)
Level 617 (32,000.000 Divine Power)
Level 616 (31,000.000 Divine Power)
Level 615 (30,000.000 Divine Power)
Level 614 (29,000.000 Divine Power)
Level 613 (28,000.000 Divine Power)
Level 612 (27,000.000 Divine Power)
Level 611 (26,000.000 Divine Power)

Level 610 (25,000.000 Divine Power)
Level 609 (24,000.000 Divine Power)
Level 608 (23,000.000 Divine Power)
Level 607 (22,000.000 Divine Power)
Level 606 (21,000.000 Divine Power)
Level 605 (20,000.000 Divine Power)
Level 604 (19,000.000 Divine Power)
Level 603 (18,000.000 Divine Power)
Level 602 (17,000.000 Divine Power)
Level 601 (16,000.000 Divine Power)

Level 600 (15,000.000 Divine Power Progenitor)

The Arcane Progenitors:
Level 600 (15,000.000 Divine Power Jointly)

- Sunorh:
Father of Time - Bright
Level 600 (15,000.000 Divine Power Jointly)

- Hronus:
Mother of Time - Fade
Level 600 (15,000.000 Divine Power Jointly)

-Matthew Gordon Roulston 12:36 PM 20th / 06 (June) / 2021



Numina: (Levels 500-599)

Level 599 (11,400.000 Divine Power)
Level 598 (11,300.000 Divine Power)
Level 597 (11,200.000 Divine Power)
Level 596 (11,100.000 Divine Power)
Level 595 (11,000.000 Divine Power)
Level 594 (10,900.000 Divine Power)
Level 593 (10,800.000 Divine Power)
Level 592 (10,700.000 Divine Power)
Level 591 (10,600.000 Divine Power)

Level 590 (10,500.000 Divine Power)
Level 589 (10,400.000 Divine Power)
Level 588 (10,300.000 Divine Power)
Level 587 (10,200.000 Divine Power)
Level 586 (10,100.000 Divine Power)
Level 585 (10,000.000 Divine Power)
Level 584 (9,900.000 Divine Power)
Level 583 (9,800.000 Divine Power)
Level 582 (9,700.000 Divine Power)
Level 581 (9,600.000 Divine Power)

Level 580 (9,500.000 Divine Power)
Level 579 (9,400.000 Divine Power)
Level 578 (9,300.000 Divine Power)
Level 577 (9,200.000 Divine Power)
Level 576 (9,100.000 Divine Power)
Level 575 (9,000.000 Divine Power)
Level 574 (8,900.000 Divine Power)
Level 573 (8,800.000 Divine Power)
Level 572 (8,700.000 Divine Power)
Level 571 (8,600.000 Divine Power)

Level 570 (8,500.000 Divine Power)
Level 569 (8,400.000 Divine Power)
Level 568 (8,300.000 Divine Power)
Level 567 (8,200.000 Divine Power)
Level 566 (8,100.000 Divine Power)
Level 565 (8,000.000 Divine Power)
Level 564 (7,900.000 Divine Power)
Level 563 (7,800.000 Divine Power)
Level 562 (7,700.000 Divine Power)
Level 561 (7,600.000 Divine Power)

Level 560 (7,500.000 Divine Power)
Level 559 (7,400.000 Divine Power)
Level 558 (7,300.000 Divine Power)
Level 557 (7,200.000 Divine Power)
Level 556 (7,100.000 Divine Power)
Level 555 (7,000.000 Divine Power)
Level 554 (6,900.000 Divine Power)
Level 553 (6,800.000 Divine Power)
Level 552 (6,700.000 Divine Power)
Level 551 (6,600.000 Divine Power)

Level 550 (6,500.000 Divine Power)
Level 549 (6,400.000 Divine Power)
Level 548 (6,300.000 Divine Power)
Level 547 (6,200.000 Divine Power)
Level 546 (6,100.000 Divine Power)
Level 545 (6,000.000 Divine Power)
Level 544 (5,900.000 Divine Power)
Level 543 (5,800.000 Divine Power)
Level 542 (5,700.000 Divine Power)
Level 541 (5,600.000 Divine Power)

Level 540 (5,500.000 Divine Power)
Level 539 (5,400.000 Divine Power)
Level 538 (5,300.000 Divine Power)
Level 537 (5,200.000 Divine Power)
Level 536 (5,100.000 Divine Power)
Level 535 (5,000.000 Divine Power)
Level 534 (4,900.000 Divine Power)
Level 533 (4,800.000 Divine Power)
Level 532 (4,700.000 Divine Power)
Level 531 (4,600.000 Divine Power)

Level 530 (4,500.000 Divine Power)
Level 529 (4,400.000 Divine Power)
Level 528 (4,300.000 Divine Power)
Level 527 (4,200.000 Divine Power)
Level 526 (4,100.000 Divine Power)
Level 525 (4,000.000 Divine Power)
Level 524 (3,900.000 Divine Power)
Level 523 (3,800.000 Divine Power)
Level 522 (3,700.000 Divine Power)
Level 521 (3,600.000 Divine Power)

Level 520 (3,500.000 Divine Power)
Level 519 (3,400.000 Divine Power)
Level 518 (3,300.000 Divine Power)
Level 517 (3,200.000 Divine Power)
Level 516 (3,100.000 Divine Power)
Level 515 (3,000.000 Divine Power)
Level 514 (2,900.000 Divine Power)
Level 513 (2,800.000 Divine Power)
Level 512 (2,700.000 Divine Power)
Level 511 (2,600.000 Divine Power)

Level 510 (2,500.000 Divine Power)
Level 509 (2,400.000 Divine Power)
Level 508 (2,300.000 Divine Power)
Level 507 (2,200.000 Divine Power)
Level 506 (2,100.000 Divine Power)
Level 505 (2,000.000 Divine Power)
Level 504 (1,900.000 Divine Power)
Level 503 (1,800.000 Divine Power)
Level 502 (1,700.000 Divine Power)
Level 501 (1,600.000 Divine Power)

Level 500 (1,500.000 Divine Power Numina)

The Arcane Numina of the Shades of the Arcane:
Level 500 (1,500.000 Divine Power Each)

(Arcane Shades)
Dawn - Ash
Noon - White
Dusk - Soot
Night - Black

Suun - Numen of Ash Arcane, Master of the Dawn
Ohnu - Numiness of White Arcane, Master of the Noon
Rhoh - Numiness of Soot Arcane, Master of the Dusk
Khon - Numen of Black Arcane, Master of the Night

-Matthew Gordon Roulston 12:12-12:48 PM 07th (Superbowl Sunday) / 02 (February) / 2021



Gods and Goddesses: (Levels 400-499)

Level 499 (1,140.000 Divine Power)
Level 498 (1,130.000 Divine Power)
Level 497 (1,120.000 Divine Power)
Level 496 (1,110.000 Divine Power)
Level 495 (1,100.000 Divine Power)
Level 494 (1,090.000 Divine Power)
Level 493 (1,080.000 Divine Power)
Level 492 (1,070.000 Divine Power)
Level 491 (1,060.000 Divine Power)

Level 490 (1,050.000 Divine Power)
Level 489 (1,040.000 Divine Power)
Level 488 (1,030.000 Divine Power)
Level 487 (1,020.000 Divine Power)
Level 486 (1,010.000 Divine Power)
Level 485 (1,000.000 Divine Power)
Level 484 (990.000 Divine Power)
Level 483 (980.000 Divine Power)
Level 482 (970.000 Divine Power)
Level 481 (960.000 Divine Power)

Level 480 (950.000 Divine Power)
Level 479 (940.000 Divine Power)
Level 478 (930.000 Divine Power)
Level 477 (920.000 Divine Power)
Level 476 (910.000 Divine Power)
Level 475 (900.000 Divine Power)
Level 474 (890.000 Divine Power)
Level 473 (880.000 Divine Power)
Level 472 (870.000 Divine Power)
Level 471 (860.000 Divine Power)

Level 470 (850.000 Divine Power)
Level 469 (840.000 Divine Power)
Level 468 (830.000 Divine Power)
Level 467 (820.000 Divine Power)
Level 466 (810.000 Divine Power)
Level 465 (800.000 Divine Power)
Level 464 (790.000 Divine Power)
Level 463 (780.000 Divine Power)
Level 462 (770.000 Divine Power)
Level 461 (760.000 Divine Power)

Level 460 (750.000 Divine Power)
Level 459 (740.000 Divine Power)
Level 458 (730.000 Divine Power)
Level 457 (720.000 Divine Power)
Level 456 (710.000 Divine Power)
Level 455 (700.000 Divine Power)
Level 454 (690.000 Divine Power)
Level 453 (680.000 Divine Power)
Level 452 (670.000 Divine Power)
Level 451 (660.000 Divine Power)

Level 450 (650.000 Divine Power)
Level 449 (640.000 Divine Power)
Level 448 (630.000 Divine Power)
Level 447 (620.000 Divine Power)
Level 446 (610.000 Divine Power)
Level 445 (600.000 Divine Power)
Level 444 (590.000 Divine Power)
Level 443 (580.000 Divine Power)
Level 442 (570.000 Divine Power)
Level 441 (560.000 Divine Power)

Level 440 (550.000 Divine Power)
Level 439 (540.000 Divine Power)
Level 438 (530.000 Divine Power)
Level 437 (520.000 Divine Power)
Level 436 (510.000 Divine Power)
Level 435 (500.000 Divine Power)
Level 434 (490.000 Divine Power)
Level 433 (480.000 Divine Power)
Level 432 (470.000 Divine Power)
Level 431 (460.000 Divine Power)

Level 430 (450.000 Divine Power)
Level 429 (440.000 Divine Power)
Level 428 (430.000 Divine Power)
Level 427 (420.000 Divine Power)
Level 426 (410.000 Divine Power)
Level 425 (400.000 Divine Power)
Level 424 (390.000 Divine Power)
Level 423 (380.000 Divine Power)
Level 422 (370.000 Divine Power)
Level 421 (360.000 Divine Power)

Level 420 (350.000 Divine Power)
Level 419 (340.000 Divine Power)
Level 418 (330.000 Divine Power)
Level 417 (320.000 Divine Power)
Level 416 (310.000 Divine Power)
Level 415 (300.000 Divine Power)
Level 414 (290.000 Divine Power)
Level 413 (280.000 Divine Power)
Level 412 (270.000 Divine Power)
Level 411 (260.000 Divine Power)

Level 410 (250.000 Divine Power)
Level 409 (240.000 Divine Power)
Level 408 (230.000 Divine Power)
Level 407 (220.000 Divine Power)
Level 406 (210.000 Divine Power)
Level 405 (200.000 Divine Power)
Level 404 (190.000 Divine Power)
Level 403 (180.000 Divine Power)
Level 402 (170.000 Divine Power)
Level 401 (160.000 Divine Power)

Level 400 (150.000 Divine Power Gods and Goddesses)

The Gods and Goddesses of the Pantheon:
Level 400 (150.000 Divine Power Each)

T'kael'los:
Furore - Orange

Dae'aldon:
Light - Yellow

Aethia:
Wild - Green

Aithyrios:
Order - Aqua

Palosa:
Gloam - Blue

Voezeithious:
Dark - Purple

Vlad'sithian:
Entropy - Pink

Kh'thulis:
Chaos - Red

-Matthew Gordon Roulston 12:40 AM 21st / 03 (March) / 2022 [Thinking of Antiquity](T'kael'los succeeding Kael'los to avoid the Chaos sound confusion and to honour the more pacific islander / coastal people in regards to volcanoes and or great natural powers / divine beings and the guttural T'k sound and to have an interesting three part name in the Gods and Goddesses as an added result / bonus.)



Deities: (Levels 300-399)

Level 399 (114.000 Divine Power)
Level 398 (113.000 Divine Power)
Level 397 (112.000 Divine Power)
Level 396 (111.000 Divine Power)
Level 395 (110.000 Divine Power)
Level 394 (109.000 Divine Power)
Level 393 (108.000 Divine Power)
Level 392 (107.000 Divine Power)
Level 391 (106.000 Divine Power)

Level 390 (105.000 Divine Power)
Level 389 (104.000 Divine Power)
Level 388 (103.000 Divine Power)
Level 387 (102.000 Divine Power)
Level 386 (101.000 Divine Power)
Level 385 (100.000 Divine Power)
Level 384 (99.000 Divine Power)
Level 383 (98.000 Divine Power)
Level 382 (97.000 Divine Power)
Level 381 (96.000 Divine Power)

Level 380 (95.000 Divine Power)
Level 379 (94.000 Divine Power)
Level 378 (93.000 Divine Power)
Level 377 (92.000 Divine Power)
Level 376 (91.000 Divine Power)
Level 375 (90.000 Divine Power)
Level 374 (89.000 Divine Power)
Level 373 (88.000 Divine Power)
Level 372 (87.000 Divine Power)
Level 371 (86.000 Divine Power)

Level 370 (85.000 Divine Power)
Level 369 (84.000 Divine Power)
Level 368 (83.000 Divine Power)
Level 367 (82.000 Divine Power)
Level 366 (81.000 Divine Power)
Level 365 (80.000 Divine Power)
Level 364 (79.000 Divine Power)
Level 363 (78.000 Divine Power)
Level 362 (77.000 Divine Power)
Level 361 (76.000 Divine Power)

Level 360 (75.000 Divine Power)
Level 359 (74.000 Divine Power)
Level 358 (73.000 Divine Power)
Level 357 (72.000 Divine Power)
Level 356 (71.000 Divine Power)
Level 355 (70.000 Divine Power)
Level 354 (69.000 Divine Power)
Level 353 (68.000 Divine Power)
Level 352 (67.000 Divine Power)
Level 351 (66.000 Divine Power)

Level 350 (65.000 Divine Power)
Level 349 (64.000 Divine Power)
Level 348 (63.000 Divine Power)
Level 347 (62.000 Divine Power)
Level 346 (61.000 Divine Power)
Level 345 (60.000 Divine Power)
Level 344 (59.000 Divine Power)
Level 343 (58.000 Divine Power)
Level 342 (57.000 Divine Power)
Level 341 (56.000 Divine Power)

Level 340 (55.000 Divine Power)
Level 339 (54.000 Divine Power)
Level 338 (53.000 Divine Power)
Level 337 (52.000 Divine Power)
Level 336 (51.000 Divine Power)
Level 335 (50.000 Divine Power)
Level 334 (49.000 Divine Power)
Level 333 (48.000 Divine Power)
Level 332 (47.000 Divine Power)
Level 331 (46.000 Divine Power)

Level 330 (45.000 Divine Power)
Level 329 (44.000 Divine Power)
Level 328 (43.000 Divine Power)
Level 327 (42.000 Divine Power)
Level 326 (41.000 Divine Power)
Level 325 (40.000 Divine Power)
Level 324 (39.000 Divine Power)
Level 323 (38.000 Divine Power)
Level 322 (37.000 Divine Power)
Level 321 (36.000 Divine Power)

Level 320 (35.000 Divine Power)
Level 319 (34.000 Divine Power)
Level 318 (33.000 Divine Power)
Level 317 (32.000 Divine Power)
Level 316 (31.000 Divine Power)
Level 315 (30.000 Divine Power)
Level 314 (29.000 Divine Power)
Level 313 (28.000 Divine Power)
Level 312 (27.000 Divine Power)
Level 311 (26.000 Divine Power)

Level 310 (25.000 Divine Power)
Level 309 (24.000 Divine Power)
Level 308 (23.000 Divine Power)
Level 307 (22.000 Divine Power)
Level 306 (21.000 Divine Power)
Level 305 (20.000 Divine Power)
Level 304 (19.000 Divine Power)
Level 303 (18.000 Divine Power)
Level 302 (17.000 Divine Power)
Level 301 (16.000 Divine Power)

Level 300 (15.000 Divine Power Maximum Player Level: Deity)

Blades of Nor, each one of five respective Deities of the Gods and Goddesses.
Level 300 (15.000 Divine Power Each)

Angthrad'Nor of the West, Blade of Chaos, Deity of Kh'thulis (Male Multi-Role Figure)
Bazki'Nor of the South, Blade of Dark, Deity of Voezeithious (Female Multi-Role Figure)
Galathrad'Nor of the North, Blade of Light, Deity of Dae'aldon (Male Multi-Role Figure)
Malki'Nor of the East, Blade of Order, Deity of Aithyrios (Female Multi-Role Figure)
Efield'Nor of the North East, Blade of Wild, Deity of Aethia (Male Multi-Role Figure)
Seffal'Nor of the South West, Blade of Entropy, Deity of Vlad'sithian (Female Multi-Role Figure)
Eitheal'Nor of the South East, Blade of Gloam, Deity of Palosa (Male Multi-Role Figure)
Sethmal'Nor of the North West, Blade of Fury, Deity of T'kael'los (Female Multi-Role Figure)

Ascension To Deityhood: (2 Pentades or 1 Decade Adventure for Level 300. Approximate total days required to reach Level 300: 4,500 Days or 150 Months, or 12.5 Years. Solely The Unyielding Hearts of Fire)



Demigods and Demigoddesses: (Hardcore Levels 200-299)
Level 299 (11.400 Divine Power)
Level 298 (11.300 Divine Power)
Level 297 (11.200 Divine Power)
Level 296 (11.100 Divine Power)
Level 295 (11.000 Divine Power)
Level 294 (10.900 Divine Power)
Level 293 (10.800 Divine Power)
Level 292 (10.700 Divine Power)
Level 291 (10.600 Divine Power)

Level 290 (10.500 Divine Power)
Level 289 (10.400 Divine Power)
Level 288 (10.300 Divine Power)
Level 287 (10.200 Divine Power)
Level 286 (10.100 Divine Power)
Level 285 (10.000 Divine Power)
Level 284 (9.900 Divine Power)
Level 283 (9.800 Divine Power)
Level 282 (9.700 Divine Power)
Level 281 (9.600 Divine Power)

Level 280 (9.500 Divine Power)
Level 279 (9.400 Divine Power)
Level 278 (9.300 Divine Power)
Level 277 (9.200 Divine Power)
Level 276 (9.100 Divine Power)
Level 275 (9.000 Divine Power)
Level 274 (8.900 Divine Power)
Level 273 (8.800 Divine Power)
Level 272 (8.700 Divine Power)
Level 271 (8.600 Divine Power)

Level 270 (8.500 Divine Power)
Level 269 (8.400 Divine Power)
Level 268 (8.300 Divine Power)
Level 267 (8.200 Divine Power)
Level 266 (8.100 Divine Power)
Level 265 (8.000 Divine Power)
Level 264 (7.900 Divine Power)
Level 263 (7.800 Divine Power)
Level 262 (7.700 Divine Power)
Level 261 (7.600 Divine Power)

Level 260 (7.500 Divine Power)
Level 259 (7.400 Divine Power)
Level 258 (7.300 Divine Power)
Level 257 (7.200 Divine Power)
Level 256 (7.100 Divine Power)
Level 255 (7.000 Divine Power)
Level 254 (6.900 Divine Power)
Level 253 (6.800 Divine Power)
Level 252 (6.700 Divine Power)
Level 251 (6.600 Divine Power)

Level 250 (6.500 Divine Power)
Level 249 (6.400 Divine Power)
Level 248 (6.300 Divine Power)
Level 247 (6.200 Divine Power)
Level 246 (6.100 Divine Power)
Level 245 (6.000 Divine Power)
Level 244 (5.900 Divine Power)
Level 243 (5.800 Divine Power)
Level 242 (5.700 Divine Power)
Level 241 (5.600 Divine Power)

Level 240 (5.500 Divine Power)
Level 239 (5.400 Divine Power)
Level 238 (5.300 Divine Power)
Level 237 (5.200 Divine Power)
Level 236 (5.100 Divine Power)
Level 235 (5.000 Divine Power)
Level 234 (4.900 Divine Power)
Level 233 (4.800 Divine Power)
Level 232 (4.700 Divine Power)
Level 231 (4.600 Divine Power)

Level 230 (4.500 Divine Power)
Level 229 (4.400 Divine Power)
Level 228 (4.300 Divine Power)
Level 227 (4.200 Divine Power)
Level 226 (4.100 Divine Power)
Level 225 (4.000 Divine Power)
Level 224 (3.900 Divine Power)
Level 223 (3.800 Divine Power)
Level 222 (3.700 Divine Power)
Level 221 (3.600 Divine Power)

Level 220 (3.500 Divine Power)
Level 219 (3.400 Divine Power)
Level 218 (3.300 Divine Power)
Level 217 (3.200 Divine Power)
Level 216 (3.100 Divine Power)
Level 215 (3.000 Divine Power)
Level 214 (2.900 Divine Power)
Level 213 (2.800 Divine Power)
Level 212 (2.700 Divine Power)
Level 211 (2.600 Divine Power)

Level 210 (2.500 Divine Power)
Level 209 (2.400 Divine Power)
Level 208 (2.300 Divine Power)
Level 207 (2.200 Divine Power)
Level 206 (2.100 Divine Power)
Level 205 (2.000 Divine Power)
Level 204 (1.900 Divine Power)
Level 203 (1.800 Divine Power)
Level 202 (1.700 Divine Power)
Level 201 (1.600 Divine Power)
Level 200 (1.500 Divine Power)
Ascension To Demigodhood: (2 Years of Raid Progression to earn Level 200)



Immortals: (Levels 100-199)
Level 199 (1.140 Divine Power)
Level 198 (1.130 Divine Power)
Level 197 (1.120 Divine Power)
Level 196 (1.110 Divine Power)
Level 195 (1.100 Divine Power)
Level 194 (1.090 Divine Power)
Level 193 (1.080 Divine Power)
Level 192 (1.070 Divine Power)
Level 191 (1.060 Divine Power)

Level 190 (1.050 Divine Power)
Level 189 (1.040 Divine Power)
Level 188 (1.030 Divine Power)
Level 187 (1.020 Divine Power)
Level 186 (1.010 Divine Power)
Level 185 (1.000 Divine Power)
Level 184 (0.990 Divine Power)
Level 183 (0.980 Divine Power)
Level 182 (0.970 Divine Power)
Level 181 (0.960 Divine Power)

Level 180 (0.950 Divine Power)
Level 179 (0.940 Divine Power)
Level 178 (0.930 Divine Power)
Level 177 (0.920 Divine Power)
Level 176 (0.910 Divine Power)
Level 175 (0.900 Divine Power)
Level 174 (0.890 Divine Power)
Level 173 (0.880 Divine Power)
Level 172 (0.870 Divine Power)
Level 171 (0.860 Divine Power)

Level 170 (0.850 Divine Power)
Level 169 (0.840 Divine Power)
Level 168 (0.830 Divine Power)
Level 167 (0.820 Divine Power)
Level 166 (0.810 Divine Power)
Level 165 (0.800 Divine Power)
Level 164 (0.790 Divine Power)
Level 163 (0.780 Divine Power)
Level 162 (0.770 Divine Power)
Level 161 (0.760 Divine Power)

Level 160 (0.750 Divine Power)
Level 159 (0.740 Divine Power)
Level 158 (0.730 Divine Power)
Level 157 (0.720 Divine Power)
Level 156 (0.710 Divine Power)
Level 155 (0.700 Divine Power)
Level 154 (0.690 Divine Power)
Level 153 (0.680 Divine Power)
Level 152 (0.670 Divine Power)
Level 151 (0.660 Divine Power)

Level 150 (0.650 Divine Power)
Level 149 (0.640 Divine Power)
Level 148 (0.630 Divine Power)
Level 147 (0.620 Divine Power)
Level 146 (0.610 Divine Power)
Level 145 (0.600 Divine Power)
Level 144 (0.590 Divine Power)
Level 143 (0.580 Divine Power)
Level 142 (0.570 Divine Power)
Level 141 (0.560 Divine Power)

Level 140 (0.550 Divine Power)
Level 139 (0.540 Divine Power)
Level 138 (0.530 Divine Power)
Level 137 (0.520 Divine Power)
Level 136 (0.510 Divine Power)
Level 135 (0.500 Divine Power)
Level 134 (0.490 Divine Power)
Level 133 (0.480 Divine Power)
Level 132 (0.470 Divine Power)
Level 131 (0.460 Divine Power)

Level 130 (0.450 Divine Power)
Level 129 (0.440 Divine Power)
Level 128 (0.430 Divine Power)
Level 127 (0.420 Divine Power)
Level 126 (0.410 Divine Power)
Level 125 (0.400 Divine Power)
Level 124 (0.390 Divine Power)
Level 123 (0.380 Divine Power)
Level 122 (0.370 Divine Power)
Level 121 (0.360 Divine Power)

Level 120 (0.350 Divine Power)
Level 119 (0.340 Divine Power)
Level 118 (0.330 Divine Power)
Level 117 (0.320 Divine Power)
Level 116 (0.310 Divine Power)
Level 115 (0.300 Divine Power)
Level 114 (0.290 Divine Power)
Level 113 (0.280 Divine Power)
Level 112 (0.270 Divine Power)
Level 111 (0.260 Divine Power)

Level 110 (0.250 Divine Power)
Level 109 (0.240 Divine Power)
Level 108 (0.230 Divine Power)
Level 107 (0.220 Divine Power)
Level 106 (0.210 Divine Power)
Level 105 (0.200 Divine Power)
Level 104 (0.190 Divine Power)
Level 103 (0.180 Divine Power)
Level 102 (0.170 Divine Power)
Level 101 (0.160 Divine Power)
Level 100 (0.150 Divine Power)
Ascension To Immortality: (2 Months for Level 100)



Mortals: (Levels 0-99)
Level 99  (0.114 Divine Power)
Level 98  (0.113 Divine Power)
Level 97  (0.112 Divine Power)
Level 96  (0.111 Divine Power)
Level 95  (0.110 Divine Power)
Level 94  (0.109 Divine Power)
Level 93  (0.108 Divine Power)
Level 92  (0.107 Divine Power)
Level 91  (0.106 Divine Power)

Level 90  (0.105 Divine Power)
Level 89  (0.104 Divine Power)
Level 88  (0.103 Divine Power)
Level 87  (0.102 Divine Power)
Level 86  (0.101 Divine Power)
Level 85  (0.100 Divine Power)
Level 84  (0.099 Divine Power)
Level 83  (0.098 Divine Power)
Level 82  (0.097 Divine Power)
Level 81  (0.096 Divine Power)

Level 80  (0.095 Divine Power)
Level 79  (0.094 Divine Power)
Level 78  (0.093 Divine Power)
Level 77  (0.092 Divine Power)
Level 76  (0.091 Divine Power)
Level 75  (0.090 Divine Power)
Level 74  (0.089 Divine Power)
Level 73  (0.088 Divine Power)
Level 72  (0.087 Divine Power)
Level 71  (0.086 Divine Power)

Level 70  (0.085 Divine Power)
Level 69  (0.084 Divine Power)
Level 68  (0.083 Divine Power)
Level 67  (0.082 Divine Power)
Level 66  (0.081 Divine Power)
Level 65  (0.080 Divine Power)
Level 64  (0.079 Divine Power)
Level 63  (0.078 Divine Power)
Level 62  (0.077 Divine Power)
Level 61  (0.076 Divine Power)

Level 60  (0.075 Divine Power)
Level 59  (0.074 Divine Power)
Level 58  (0.073 Divine Power)
Level 57  (0.072 Divine Power)
Level 56  (0.071 Divine Power)
Level 55  (0.070 Divine Power)
Level 54  (0.069 Divine Power)
Level 53  (0.068 Divine Power)
Level 52  (0.067 Divine Power)
Level 51  (0.066 Divine Power)

Level 50  (0.065 Divine Power)
Level 49  (0.064 Divine Power)
Level 48  (0.063 Divine Power)
Level 47  (0.062 Divine Power)
Level 46  (0.061 Divine Power)
Level 45  (0.060 Divine Power)
Level 44  (0.059 Divine Power)
Level 43  (0.058 Divine Power)
Level 42  (0.057 Divine Power)
Level 41  (0.056 Divine Power)

Level 40  (0.055 Divine Power)
Level 39  (0.054 Divine Power)
Level 38  (0.053 Divine Power)
Level 37  (0.052 Divine Power)
Level 36  (0.051 Divine Power)
Level 35  (0.050 Divine Power)
Level 34  (0.049 Divine Power)
Level 33  (0.048 Divine Power)
Level 32  (0.047 Divine Power)
Level 31  (0.046 Divine Power)

Level 30  (0.045 Divine Power)
